Amount - Order Shipping,Amount - Order Tax,Amount - Order Total,Amount - Paid by Customer,Amount - Shipping Cost,Bill To - Name,Carrier - Carrier Selected,Carrier - Service Requested,Carrier - Service Selected,Custom - Field 1,Custom - Field 2,Custom - Field 3,Customer Email,Customs - Package Contents,Date - Hold Until,Date - Order Date,Date - Paid Date,Date - Shipped Date,Gift - Flag,Gift - Message,Insurance - Cost,Insurance - Insured Value,Insurance - Provider,Item - Category,Item - Cost,Item - Cost Extended,Item - Fill SKU,Item - Image URL,Item - ISBN,Item - Location,Item - Name,Item - Options,Item - Origin Country Code,Item - Price,Item - Qty,Item - SKU,Item - UPC,Item - Weight,Item - Weight (oz),Market - Markeplace Name,Market - Market Order URL,Market - Store Name,Notes - From Buyer,Notes - Internal,Notes - To Buyer,Order - Number,Order - Pay Method,Order - Status,Order - Weight,Service - Confirmation Type,Service - Package Type,Ship To - Address 1,Ship To - Address 2,Ship To - Address 3,Ship To - City,Ship To - Company,Ship To - Country,Ship To - Name,Ship To - Phone,Ship To - Postal Code,Ship To - Residential Flag,Ship To - State,Ship To - Verified Flag,Ship To - Zone,Source
"27.56","0.00","96.21","96.21","9.55","Chuck Denn","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Turbovair2md@yahoo.com",,,"11/21/2017 2:11:56 PM","11/21/2017 2:11:56 PM",,"False",,"0.00","96.21","0",,"6.25","18.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/i/909/CHEESE_TAMALES-02036__37128.jpg","702","","Gourmet Jalapeno and Cheese (Four Cheese) Tamales","Amount of Tamales: Dozen",,"18.95","1","171TAMJLC007",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"746","Credit/Debit Card","Awaiting Shipment","128.0","None","Package","112 CHALLEDON DR","",,"WALKERSVILLE","","US","Chuck Denn","3013250277","21793-8130","R","MD","1","6","iphone"
"27.56","0.00","96.21","96.21","9.55","Chuck Denn","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Turbovair2md@yahoo.com",,,"11/21/2017 2:11:56 PM","11/21/2017 2:11:56 PM",,"False",,"0.00","96.21","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/g/778/Texas_Lone_StarTamales_-_Pork_Tamales__30693.jpg","702","","Gourmet Pork Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","102TAMPOR005",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"746","Credit/Debit Card","Awaiting Shipment","128.0","None","Package","112 CHALLEDON DR","",,"WALKERSVILLE","","US","Chuck Denn","3013250277","21793-8130","R","MD","1","6","iphone"
"27.56","0.00","96.21","96.21","9.55","Chuck Denn","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Turbovair2md@yahoo.com",,,"11/21/2017 2:11:56 PM","11/21/2017 2:11:56 PM",,"False",,"0.00","96.21","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/q/080/Gourmet_Beef_Tamales__82444.jpg","702","","Gourmet Beef Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","122TAMBEE003",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"746","Credit/Debit Card","Awaiting Shipment","128.0","None","Package","112 CHALLEDON DR","",,"WALKERSVILLE","","US","Chuck Denn","3013250277","21793-8130","R","MD","1","6","iphone"
"27.56","0.00","96.21","96.21","9.55","Chuck Denn","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Turbovair2md@yahoo.com",,,"11/21/2017 2:11:56 PM","11/21/2017 2:11:56 PM",,"False",,"0.00","96.21","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/k/358/Traditional_Beef_Tamales__29183.jpg","702","","Gourmet Habanero Beef Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","125TAMBEE008",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"746","Credit/Debit Card","Awaiting Shipment","128.0","None","Package","112 CHALLEDON DR","",,"WALKERSVILLE","","US","Chuck Denn","3013250277","21793-8130","R","MD","1","6","iphone"
"27.56","0.00","96.21","96.21","9.55","Chuck Denn","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Turbovair2md@yahoo.com",,,"11/21/2017 2:11:56 PM","11/21/2017 2:11:56 PM",,"False",,"0.00","96.21","0",,"3.13","9.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/w/026/Barbeque_Tamales__85442.JPG","702","","Gourmet Barbeque Tamales","Amount of Tamales: Half-Doz.",,"9.95","1","162TAMBBQ003",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"746","Credit/Debit Card","Awaiting Shipment","128.0","None","Package","112 CHALLEDON DR","",,"WALKERSVILLE","","US","Chuck Denn","3013250277","21793-8130","R","MD","1","6","iphone"
"27.56","0.00","96.21","96.21","9.55","Chuck Denn","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"Turbovair2md@yahoo.com",,,"11/21/2017 2:11:56 PM","11/21/2017 2:11:56 PM",,"False",,"0.00","96.21","0",,"2.31","9.90",,"http://store-92s45rxp4.mybigcommerce.com/product_images/z/434/Chilli_3_1_of_1__87902.jpg","702","","Real Texas Brick Chili from the Original Texas Chili Company",,,"4.95","2","210CHITEX005",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"746","Credit/Debit Card","Awaiting Shipment","128.0","None","Package","112 CHALLEDON DR","",,"WALKERSVILLE","","US","Chuck Denn","3013250277","21793-8130","R","MD","1","6","iphone"
"25.11","0.00","88.86","88.86","9.22","Felix  Silva","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"TexasLoneStarTamaleSales@gmail.com",,,"11/21/2017 2:56:50 PM","11/21/2017 2:56:50 PM",,"False",,"0.00","88.86","0",,"6.25","53.85",,"http://store-92s45rxp4.mybigcommerce.com/product_images/q/080/Gourmet_Beef_Tamales__82444.jpg","703","","Gourmet Beef Tamales","Amount of Tamales: Dozen",,"17.95","3","121TAMBEE003",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes:  Schedule this order to ship on Monday November 27th **Mo","",,"747","storecredit","Awaiting Shipment","128.0","None","Package","4942 AMBERWOOD DR","",,"DAYTON","","US","Lance & Valerie Ray","8888254113","45424-4606","R","OH","1","5","www"
"25.11","0.00","88.86","88.86","9.22","Felix  Silva","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"TexasLoneStarTamaleSales@gmail.com",,,"11/21/2017 2:56:50 PM","11/21/2017 2:56:50 PM",,"False",,"0.00","88.86","0",,"1.84","9.90",,"http://store-92s45rxp4.mybigcommerce.com/product_images/q/793/Green_Salsa_6_1_of_1__17625.jpg","703","","Premium Green Salsa with Avocado - 10 oz",,,"4.95","2","203SALGRE003",,"16.0","16.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes:  Schedule this order to ship on Monday November 27th **Mo","",,"747","storecredit","Awaiting Shipment","128.0","None","Package","4942 AMBERWOOD DR","",,"DAYTON","","US","Lance & Valerie Ray","8888254113","45424-4606","R","OH","1","5","www"
"19.67","0.00","122.03","122.03","8.98","Sandra Wheeler","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sandie@wheeler2017.com",,,"11/21/2017 3:58:29 PM","11/21/2017 3:58:29 PM",,"False",,"0.00","122.03","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/f/150/Texas_Lone_Star_Tamales_-_Chicken_Tamales__43373.jpg","704","","Gourmet Chicken Tamales","Amount of Tamales: Dozen",,"17.95","1","131TAMCHI005",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"748","PayPal","Awaiting Shipment","259.2","None","Package","28518 LAZY ROCK DR","",,"HUFFMAN","","US","Sandra Wheeler","8322176912","77336-4565","R","TX","1","3","iphone"
"19.67","0.00","122.03","122.03","8.98","Sandra Wheeler","FedEx","FedEx (Ground)","FedEx Home Delivery®",,,,"sandie@wheeler2017.com",,,"11/21/2017 3:58:29 PM","11/21/2017 3:58:29 PM",,"False",,"0.00","122.03","0",,"6.25","17.95",,"http://store-92s45rxp4.mybigcommerce.com/product_images/x/662/Spinach_Tamales__48442.png","704","","Gourmet Black Bean and Cheese Vegetarian Tamales","Amount of Tamales: Dozen",,"17.95","1","141TAMVEG001",,"32.0","32.00","BigCommerce",,"BigCommerce Tamales","1 - Gift Message:  *|* Delivery Date: *|* Notes: ","",,"748","PayPal","Awaiting Shipment","259.2","None","Package","28518 LAZY ROCK DR","",,"HUFFMAN","","US","Sandra Wheeler","8322176912","77336-4565","R","TX","1","3","iphone"
